symbol,lastPrice,priceChangePercent,quoteVolume,timestamp
ADAUSDT,0.6127,-5.345,95347335.01958,2025-10-31 12:48:46.902247
ADABNB,0.00056,-3.114,77.2465926,2025-10-31 12:48:46.902247
CLOAKBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CLOAKETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GNTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GNTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GNTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LOOMBTC,7.5e-07,-6.25,11.05619825,2025-10-31 12:48:46.902247
LOOMETH,3.231e-05,-11.479,327.90173053,2025-10-31 12:48:46.902247
LOOMBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XRPUSDT,2.4781,-4.21,348191460.81519,2025-10-31 12:48:46.902247
BCNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCNBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
REPBTC,0.0003413,6.39,13.8507229,2025-10-31 12:48:46.902247
REPBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BTCTUSD,110017.87,-1.649,163419.6854075,2025-10-31 12:48:46.902247
TUSDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ETHTUSD,3839.12,-2.904,175244.972454,2025-10-31 12:48:46.902247
TUSDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TUSDBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ZENBTC,0.00011567,2.254,1.85993966,2025-10-31 12:48:46.902247
ZENETH,0.003991,-15.373,106.7471161,2025-10-31 12:48:46.902247
ZENBNB,0.0329,-5.187,1138.927336,2025-10-31 12:48:46.902247
SKYCOINBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SKYCOINETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SKYCOINBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EOSUSDT,0.7799,-0.662,924391.64369,2025-10-31 12:48:46.902247
EOSBNB,0.002583,-5.315,989.4328949,2025-10-31 12:48:46.902247
CVCBTC,5.66e-06,-6.446,19.06464166,2025-10-31 12:48:46.902247
CVCETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CVCBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
THETABTC,4.45e-06,-4.711,0.66782928,2025-10-31 12:48:46.902247
THETAETH,0.0005017,-8.466,197.68935232,2025-10-31 12:48:46.902247
THETABNB,0.002736,-6.653,915.7559261,2025-10-31 12:48:46.902247
XRPBNB,0.0022645,-2.186,851.99065072,2025-10-31 12:48:46.902247
TUSDUSDT,0.9971,0.02,453264.3728,2025-10-31 12:48:46.902247
IOTAUSDT,0.138,-3.361,2225732.3253,2025-10-31 12:48:46.902247
XLMUSDT,0.3015,-5.009,24256045.4657,2025-10-31 12:48:46.902247
IOTXBTC,1e-07,0.0,0.19466633,2025-10-31 12:48:46.902247
IOTXETH,2.92e-06,-2.013,13.70208192,2025-10-31 12:48:46.902247
QKCBTC,1e-07,-9.091,8.85821098,2025-10-31 12:48:46.902247
QKCETH,4.3e-06,-9.664,133.21057923,2025-10-31 12:48:46.902247
AGIBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
AGIETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
AGIBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NXSBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NXSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NXSBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ENJBNB,0.001368,2.549,1286.8625796,2025-10-31 12:48:46.902247
DATABTC,8e-08,-42.857,4.85940584,2025-10-31 12:48:46.902247
DATAETH,2.034e-05,5.28,503.57431074,2025-10-31 12:48:46.902247
ONTUSDT,0.0835,-4.68,442188.4082,2025-10-31 12:48:46.902247
TRXBNB,0.0002701,1.503,156.1569253,2025-10-31 12:48:46.902247
TRXUSDT,0.2951,-0.64,134012077.17556,2025-10-31 12:48:46.902247
ETCUSDT,15.6,-2.743,13976737.6322,2025-10-31 12:48:46.902247
ETCBNB,0.01426,-0.627,2.4776016,2025-10-31 12:48:46.902247
ICXUSDT,0.0818,-5.652,395484.02554,2025-10-31 12:48:46.902247
SCBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SCETH,5e-07,0.0,2.2418471,2025-10-31 12:48:46.902247
NPXSBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NPXSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
VENUSDT,0.0,0.0,0.0,2025-10-31 12:48:46.902247
KEYBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
KEYETH,2.27e-06,2.252,247.31916208,2025-10-31 12:48:46.902247
NASBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NASETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NASBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MFTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MFTETH,4.33e-06,-0.46,282.19840167,2025-10-31 12:48:46.902247
MFTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DENTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DENTETH,1.1e-07,0.0,1.75879951,2025-10-31 12:48:46.902247
ARDRBTC,5.8e-07,-3.333,0.09802794,2025-10-31 12:48:46.902247
ARDRETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ARDRBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NULSUSDT,0.0258,-7.194,158334.2691,2025-10-31 12:48:46.902247
HOTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
HOTETH,1.6e-07,0.0,2.52449594,2025-10-31 12:48:46.902247
VETBTC,1.5e-07,0.0,0.47244802,2025-10-31 12:48:46.902247
